序号,推荐类别,目标名称,NORAD ID,COSPAR ID,轨道类型,估算高度,倾角,平均运动,来源分组,教学价值,推荐理由
1,导航定位,BEIDOU-2 G4 (C04),37210,2010-057A,GEO/高轨,"约35,787 km",3.66,1.002711,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
2,导航定位,BEIDOU-2 G5 (C05),38091,2012-008A,GEO/高轨,"约35,786 km",3.59,1.002746,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
3,导航定位,BEIDOU-2 G6 (C02),38953,2012-059A,GEO/高轨,"约35,787 km",4.44,1.002716,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
4,导航定位,BEIDOU-2 G7 (C03),41586,2016-037A,GEO/高轨,"约35,786 km",1.74,1.002735,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
5,导航定位,BEIDOU-2 G8 (C01),44231,2019-027A,GEO/高轨,"约35,787 km",1.68,1.002692,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
6,导航定位,BEIDOU-2 IGSO-1 (C06),36828,2010-036A,GEO/高轨,"约35,787 km",54.3,1.0027,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
7,导航定位,BEIDOU-2 IGSO-2 (C07),37256,2010-068A,GEO/高轨,"约35,784 km",47.53,1.002812,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
8,导航定位,BEIDOU-2 IGSO-3 (C08),37384,2011-013A,GEO/高轨,"约35,788 km",62.42,1.002664,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
9,导航定位,BEIDOU-2 IGSO-4 (C09),37763,2011-038A,GEO/高轨,"约35,783 km",54.6,1.002844,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
10,导航定位,BEIDOU-2 IGSO-5 (C10),37948,2011-073A,GEO/高轨,"约35,787 km",47.66,1.002721,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
11,导航定位,BEIDOU-2 IGSO-6 (C13),41434,2016-021A,GEO/高轨,"约35,790 km",60.24,1.002591,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
12,导航定位,BEIDOU-2 IGSO-7 (C16),43539,2018-057A,GEO/高轨,"约35,793 km",55.2,1.002491,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
13,导航定位,BEIDOU-2 M3 (C11),38250,2012-018A,MEO,"约21,528 km",55.75,1.862296,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
14,导航定位,BEIDOU-2 M4 (C12),38251,2012-018B,MEO,"约21,528 km",55.65,1.862296,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
15,导航定位,BEIDOU-2 M6 (C14),38775,2012-050B,MEO,"约21,528 km",56.55,1.862311,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
16,导航定位,BEIDOU-3 G1 (C59),43683,2018-085A,GEO/高轨,"约35,787 km",2.89,1.002708,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
17,导航定位,BEIDOU-3 G2 (C60),45344,2020-017A,GEO/高轨,"约35,787 km",2.88,1.00272,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
18,导航定位,BEIDOU-3 G3 (C61),45807,2020-040A,GEO/高轨,"约35,786 km",2.47,1.002753,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
19,导航定位,BEIDOU-3 IGSO-1 (C38),44204,2019-023A,GEO/高轨,"约35,782 km",58.71,1.0029,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
20,导航定位,BEIDOU-3 IGSO-2 (C39),44337,2019-035A,GEO/高轨,"约35,789 km",55.25,1.002644,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
21,导航定位,BEIDOU-3 M1 (C19),43001,2017-069A,MEO,"约21,528 km",56.7,1.862312,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
22,导航定位,BEIDOU-3 M10 (C30),43246,2018-029B,MEO,"约21,528 km",54.19,1.862291,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
23,导航定位,BEIDOU-3 M11 (C25),43603,2018-067B,MEO,"约21,529 km",54.18,1.862272,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
24,导航定位,BEIDOU-3 M12 (C26),43602,2018-067A,MEO,"约21,529 km",54.18,1.862277,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
25,导航定位,BEIDOU-3 M13 (C32),43622,2018-072A,MEO,"约21,528 km",56.63,1.862311,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
26,导航定位,BEIDOU-3 M14 (C33),43623,2018-072B,MEO,"约21,528 km",56.63,1.862311,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
27,导航定位,BEIDOU-3 M15 (C34),43648,2018-078B,MEO,"约21,528 km",54.08,1.862325,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
28,导航定位,BEIDOU-3 M16 (C35),43647,2018-078A,MEO,"约21,528 km",54.08,1.862324,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
29,导航定位,BEIDOU-3 M17 (C36),43706,2018-093A,MEO,"约21,528 km",54.17,1.862285,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
30,导航定位,BEIDOU-3 M18 (C37),43707,2018-093B,MEO,"约21,529 km",54.17,1.862267,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
31,导航定位,BEIDOU-3 M19 (C41),44864,2019-090A,MEO,"约21,528 km",56.56,1.862315,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
32,导航定位,BEIDOU-3 M2 (C20),43002,2017-069B,MEO,"约21,528 km",56.7,1.862305,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
33,导航定位,BEIDOU-3 M20 (C42),44865,2019-090B,MEO,"约21,528 km",56.57,1.862315,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
34,导航定位,BEIDOU-3 M21 (C43),44794,2019-078B,MEO,"约21,529 km",53.91,1.862277,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
35,导航定位,BEIDOU-3 M22 (C44),44793,2019-078A,MEO,"约21,529 km",53.93,1.862271,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
36,导航定位,BEIDOU-3 M23 (C45),44543,2019-061B,MEO,"约21,529 km",54.4,1.862273,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
37,导航定位,BEIDOU-3 M24 (C46),44542,2019-061A,MEO,"约21,528 km",54.4,1.862291,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
38,导航定位,BEIDOU-3 M3 (C21),43208,2018-018B,MEO,"约21,528 km",56.66,1.862312,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
39,导航定位,BEIDOU-3 M4 (C22),43207,2018-018A,MEO,"约21,528 km",56.66,1.862312,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
40,导航定位,BEIDOU-3 M5 (C23),43581,2018-062A,MEO,"约21,528 km",54.09,1.862289,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
41,导航定位,BEIDOU-3 M6 (C24),43582,2018-062B,MEO,"约21,529 km",54.09,1.862277,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
42,导航定位,BEIDOU-3 M7 (C27),43107,2018-003A,MEO,"约21,529 km",54.32,1.862279,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
43,导航定位,BEIDOU-3 M8 (C28),43108,2018-003B,MEO,"约21,528 km",54.31,1.862311,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
44,导航定位,BEIDOU-3 M9 (C29),43245,2018-029A,MEO,"约21,528 km",54.19,1.862285,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
45,导航定位,BEIDOU-3S IGSO-1S (C31),40549,2015-019A,GEO/高轨,"约35,793 km",49.18,1.002498,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
46,导航定位,BEIDOU-3S IGSO-2S (C56),40938,2015-053A,GEO/高轨,"约35,791 km",49.21,1.002581,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
47,导航定位,BEIDOU-3S M1S (C57),40749,2015-037B,MEO,"约21,526 km",54.86,1.86255,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
48,导航定位,BEIDOU-3S M2S (C58),40748,2015-037A,MEO,"约21,528 km",54.87,1.86232,beidou,北斗导航卫星,适合讲解MEO星座、定位授时和多系统对比。
49,遥感观测,AQUA,27424,2002-022A,SSO/近极轨,约686 km,98.43,14.621673,visual,肉眼可见经典目标,适合讲解对地成像、资源调查和太阳同步轨道。
50,空间站/载人航天,CREW DRAGON 12,67796,2026-031A,LEO,约419 km,51.63,15.49416,stations,空间站/载人平台,适合讲解载人航天、交会对接和近地轨道运行。
51,空间站/载人航天,CYGNUS NG-24,68689,2026-079A,LEO,约419 km,51.63,15.493962,stations,空间站/载人平台,适合讲解载人航天、交会对接和近地轨道运行。
52,火箭体/碎片,FREGAT DEB,49271,2011-037PF,LEO,"约1,498 km",51.62,12.42164,stations,空间站/载人平台,适合讲解空间碎片来源、再入风险和碰撞预警。
53,空间站/载人航天,ISS OBJECT XY,66912,1998-067XY,LEO,约254 km,51.61,16.073628,stations,空间站/载人平台,适合讲解载人航天、交会对接和近地轨道运行。
54,空间站/载人航天,PROGRESS-MS 33,68319,2026-058A,LEO,约419 km,51.63,15.49416,stations,空间站/载人平台,适合讲解载人航天、交会对接和近地轨道运行。
55,空间站/载人航天,PROGRESS-MS 34,68837,2026-093A,LEO,约419 km,51.63,15.493962,stations,空间站/载人平台,适合讲解载人航天、交会对接和近地轨道运行。
56,空间站/载人航天,SOYUZ-MS 28,66664,2025-275A,LEO,约419 km,51.63,15.49416,stations,空间站/载人平台,适合讲解载人航天、交会对接和近地轨道运行。
57,遥感观测,TERRA,25994,1999-068A,SSO/近极轨,约690 km,97.95,14.611078,visual,肉眼可见经典目标,适合讲解对地成像、资源调查和太阳同步轨道。
58,导航定位,GPS BIIF-1  (PRN 25),36585,2010-022A,MEO,"约20,182 km",54.27,2.005629,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
59,导航定位,GPS BIIF-3  (PRN 24),38833,2012-053A,MEO,"约20,182 km",53.59,2.005676,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
60,导航定位,GPS BIIF-4  (PRN 27),39166,2013-023A,MEO,"约20,182 km",54.5,2.005635,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
61,导航定位,GPS BIIF-5  (PRN 30),39533,2014-008A,MEO,"约20,183 km",53.66,2.005603,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
62,导航定位,GPS BIIF-6  (PRN 06),39741,2014-026A,MEO,"约20,183 km",56.5,2.005606,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
63,导航定位,GPS BIIF-7  (PRN 09),40105,2014-045A,MEO,"约20,183 km",55.36,2.005589,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
64,导航定位,GPS BIIR-11 (PRN 19),28190,2004-009A,MEO,"约20,183 km",54.82,2.005546,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
65,导航定位,GPS BIIR-13 (PRN 02),28474,2004-045A,MEO,"约20,183 km",55.13,2.005563,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
66,导航定位,GPS BIIR-5  (PRN 22),26407,2000-040A,MEO,"约20,183 km",54.85,2.005578,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
67,导航定位,GPS BIIR-8  (PRN 16),27663,2003-005A,MEO,"约20,183 km",54.88,2.005603,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
68,导航定位,GPS BIIRM-1 (PRN 17),28874,2005-038A,MEO,"约20,182 km",54.87,2.005653,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
69,导航定位,GPS BIIRM-2 (PRN 31),29486,2006-042A,MEO,"约20,182 km",54.71,2.005695,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
70,导航定位,GPS BIIRM-3 (PRN 12),29601,2006-052A,MEO,"约20,183 km",54.93,2.005583,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
71,导航定位,GPS BIIRM-4 (PRN 15),32260,2007-047A,MEO,"约20,183 km",54.1,2.00555,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
72,导航定位,GPS BIIRM-5 (PRN 29),32384,2007-062A,MEO,"约20,183 km",55.03,2.005606,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
73,导航定位,GPS BIIRM-6 (PRN 07),32711,2008-012A,MEO,"约20,182 km",54.5,2.005726,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
74,导航定位,GPS BIIRM-8 (PRN 05),35752,2009-043A,MEO,"约20,183 km",56.21,2.00554,gps-ops,GPS导航卫星,适合讲解MEO星座、定位授时和多系统对比。
75,导航定位,GSAT0101 (GALILEO-PFM),37846,2011-060A,MEO,"约23,222 km",56.99,1.704758,galileo,Galileo导航卫星,适合讲解MEO星座、定位授时和多系统对比。
76,导航定位,GSAT0102 (GALILEO-FM2),37847,2011-060B,MEO,"约23,222 km",56.99,1.70476,galileo,Galileo导航卫星,适合讲解MEO星座、定位授时和多系统对比。
77,导航定位,GSAT0103 (GALILEO-FM3),38857,2012-055A,MEO,"约23,222 km",55.81,1.704735,galileo,Galileo导航卫星,适合讲解MEO星座、定位授时和多系统对比。
78,导航定位,GSAT0201 (GALILEO 5),40128,2014-050A,MEO,"约21,599 km",48.87,1.855201,galileo,Galileo导航卫星,适合讲解MEO星座、定位授时和多系统对比。
79,综合目标,CORAL,67684,1998-067YA,LEO,约333 km,51.62,15.792061,stations,空间站/载人平台,适合补充轨道类型和任务类型覆盖。
80,综合目标,DUPLEX,66906,1998-067XS,LEO,约379 km,51.63,15.630155,stations,空间站/载人平台,适合补充轨道类型和任务类型覆盖。
81,综合目标,GXIBA-1,67685,1998-067YB,LEO,约381 km,51.63,15.622411,stations,空间站/载人平台,适合补充轨道类型和任务类型覆盖。
82,综合目标,HMU-SAT2,67688,1998-067YE,LEO,约376 km,51.63,15.64045,stations,空间站/载人平台,适合补充轨道类型和任务类型覆盖。
83,综合目标,HRC MONOBLOCK CAMERA,66052,1998-067XR,LEO,约345 km,51.62,15.750602,stations,空间站/载人平台,适合补充轨道类型和任务类型覆盖。
84,综合目标,KNACKSAT-2,67683,1998-067XZ,LEO,约386 km,51.63,15.604941,stations,空间站/载人平台,适合补充轨道类型和任务类型覆盖。
85,综合目标,LEOPARD,67687,1998-067YD,LEO,约383 km,51.63,15.615526,stations,空间站/载人平台,适合补充轨道类型和任务类型覆盖。
86,综合目标,POISK,36086,2009-060A,LEO,约419 km,51.63,15.49416,stations,空间站/载人平台,适合补充轨道类型和任务类型覆盖。
87,综合目标,UITMSAT-2,67686,1998-067YC,LEO,约371 km,51.63,15.657252,stations,空间站/载人平台,适合补充轨道类型和任务类型覆盖。
88,气象环境,FENGYUN 2G,40367,2014-090A,GEO/高轨,"约35,787 km",5.66,1.0027,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
89,气象环境,FENGYUN 2H,43491,2018-050A,GEO/高轨,"约35,787 km",3.05,1.002697,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
90,气象环境,FENGYUN 3A,32958,2008-026A,SSO/近极轨,约827 km,98.69,14.195723,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
91,气象环境,FENGYUN 3B,37214,2010-059A,SSO/近极轨,约843 km,98.96,14.148414,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
92,气象环境,FENGYUN 3C,39260,2013-052A,SSO/近极轨,约840 km,98.5,14.157567,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
93,气象环境,FENGYUN 3D,43010,2017-072A,SSO/近极轨,约826 km,99.01,14.197417,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
94,气象环境,FENGYUN 3E,49008,2021-062A,SSO/近极轨,约826 km,98.75,14.199049,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
95,气象环境,FENGYUN 3H,65815,2025-219A,SSO/近极轨,约826 km,98.68,14.199215,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
96,气象环境,FENGYUN 4A,41882,2016-077A,GEO/高轨,"约35,789 km",2.34,1.002652,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
97,气象环境,SENTINEL-3A,41335,2016-011A,SSO/近极轨,约803 km,98.62,14.267347,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
98,气象环境,SENTINEL-3B,43437,2018-039A,SSO/近极轨,约803 km,98.62,14.267368,weather,气象卫星,适合讲解极轨/静止气象观测和地球环境监测。
99,科学/测地,SWIFT,28485,2004-047A,LEO,约362 km,20.55,15.688704,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
100,科学/测地,ZHANGHENG 1-01 (CSES-1),43194,2018-015C,SSO/近极轨,约503 km,97.69,15.209027,science,科学卫星,适合讲解空间科学、测地基准和特殊任务轨道。
101,火箭体/碎片,ARIANE 40 R/B,20443,1990-005H,SSO/近极轨,约759 km,98.3,14.399305,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
102,火箭体/碎片,ARIANE 40 R/B,21610,1991-050F,SSO/近极轨,约749 km,98.19,14.429604,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
103,火箭体/碎片,ARIANE 40 R/B,22830,1993-061H,SSO/近极轨,约782 km,98.48,14.329103,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
104,火箭体/碎片,ARIANE 40+ R/B,23561,1995-021B,SSO/近极轨,约759 km,98.44,14.398367,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
105,火箭体/碎片,ARIANE 5 R/B,28499,2004-049H,SSO/近极轨,约612 km,98.27,14.854563,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
106,火箭体/碎片,ATLAS CENTAUR R/B,6155,1972-065B,LEO,约636 km,35.0,14.779341,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
107,火箭体/碎片,CZ-2C R/B,28222,2004-012C,SSO/近极轨,约330 km,97.71,15.802406,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
108,火箭体/碎片,CZ-2C R/B,28480,2004-046B,SSO/近极轨,约802 km,98.19,14.270278,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
109,火箭体/碎片,CZ-2C R/B,31114,2007-010B,SSO/近极轨,约825 km,98.41,14.202775,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
110,火箭体/碎片,CZ-2C R/B,37731,2011-030B,SSO/近极轨,约625 km,97.87,14.814861,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
111,火箭体/碎片,CZ-2C R/B,52794,2022-058K,LEO,约381 km,50.18,15.622938,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
112,火箭体/碎片,CZ-2C R/B,54039,2022-132E,SSO/近极轨,约352 km,97.29,15.722998,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
113,火箭体/碎片,CZ-2D R/B,28738,2005-024B,SSO/近极轨,约358 km,97.35,15.702341,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
114,火箭体/碎片,CZ-4B R/B,25732,1999-025C,SSO/近极轨,约831 km,98.65,14.182844,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
115,火箭体/碎片,CZ-4B R/B,27432,2002-024C,SSO/近极轨,约844 km,98.87,14.145654,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
116,火箭体/碎片,CZ-4B R/B,28059,2003-049C,SSO/近极轨,约709 km,98.69,14.551041,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
117,火箭体/碎片,CZ-4B R/B,28415,2004-035C,SSO/近极轨,约474 km,97.34,15.307097,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
118,火箭体/碎片,CZ-4B R/B,29507,2006-046C,SSO/近极轨,约513 km,97.55,15.178259,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
119,火箭体/碎片,CZ-8A R/B,66004,2025-231K,LEO,约791 km,50.01,14.301566,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
120,火箭体/碎片,DELTA 1 R/B,20323,1989-089B,SSO/近极轨,约723 km,97.06,14.50735,visual,肉眼可见经典目标,适合讲解空间碎片来源、再入风险和碰撞预警。
